distance,time,steep
169.61,17,0.13
186.61,17,0.39
258.64,26,0.68
242.2,27,0.8
266.55,30,1.15
361.82,33,1.18
331.62,42,1.46
498.43,50,1.57
420.76,53,1.62
545.11,55,1.63
595.8,60,2.1
753.73,63,2.27
597.72,67,2.64
586.34,74,2.83
857.09,86,2.91
1037.76,87,3.12
876.87,88,3.13
1008.39,92,3.61
764.19,96,3.81
1147.34,105,3.83
1184.07,108,3.93
1005.18,113,3.94
940.04,118,3.96
939.19,119,4.27
1436.4,121,5.2
1347.56,123,5.44
1566.75,132,5.75
1566.51,132,5.83
1440.1,132,5.95
1461.7,134,6.15
1061.28,135,6.24
1083.34,137,6.33
1542.83,142,6.39
1270.82,142,7.18
1462.17,147,7.83
1160,147,8
1491.95,150,8.05
1799.49,152,8.17
1827.74,153,8.26
1358.78,153,9.11
1286.81,162,9.19
1310.72,165,9.28
2006.42,168,9.58
1678.68,171,10.44
2103.04,177,10.48
1849.38,186,10.62
1640.46,186,11.18
2045.6,188,11.2
1569.32,199,11.34
2198.05,203,11.65
2208.51,204,11.83
2286.22,210,11.89
2306.96,212,12.52
1904.32,213,12.68
1905.84,216,12.72
2383.28,219,12.86
1736.61,222,13.13
1980.38,223,13.31
2270.04,231,13.32
2770.43,232,13.57
2302.36,233,13.82
2312.34,234,13.83
2560.14,234,13.86
2331.56,236,14.22
2131.46,240,14.27
2918.97,247,15.01
1984.83,250,15.17
2965.77,251,15.41
2327.88,264,16.04
2882.8,265,16.1
2643.17,266,16.83
2403.63,269,17.37
2140.88,272,17.56
2439.54,275,17.73
2204.48,280,17.76
3036.46,281,18.18
2357.71,297,18.29
2345.13,300,18.29
3243.33,300,18.89
3560.2,300,19.9
